name,category,subcategory,grade,standard,density,tensile_strength_min,tensile_strength_max,yield_strength_min,yield_strength_max,elongation,hardness,elastic_modulus,thermal_conductivity,specific_heat,melting_point_min,melting_point_max,max_service_temp,cost_per_kg_min,cost_per_kg_max,cost_currency,applications,equivalent_grades,composition,description,source_name,is_verified
Carbon Fiber T300,Composite,Carbon Fiber,T300,-,1.76,3530,3530,3530,3530,1.5,-,230,10.0,900,,,150,2000,5000,INR,Aerospace,-,-,Standard Carbon Fiber variant.,MIL-HDBK-17,True
Carbon Fiber T400,Composite,Carbon Fiber,T400,-,1.76,3630,3630,3630,3630,1.5,-,240,10.0,900,,,150,2000,5000,INR,Aerospace,-,-,Standard Carbon Fiber variant.,MIL-HDBK-17,True
Carbon Fiber T500,Composite,Carbon Fiber,T500,-,1.76,3730,3730,3730,3730,1.5,-,250,10.0,900,,,150,2000,5000,INR,Aerospace,-,-,Standard Carbon Fiber variant.,MIL-HDBK-17,True
Carbon Fiber T600,Composite,Carbon Fiber,T600,-,1.76,3830,3830,3830,3830,1.5,-,260,10.0,900,,,150,2000,5000,INR,Aerospace,-,-,Standard Carbon Fiber variant.,MIL-HDBK-17,True
Carbon Fiber T700,Composite,Carbon Fiber,T700,-,1.76,3930,3930,3930,3930,1.5,-,270,10.0,900,,,150,2000,5000,INR,Aerospace,-,-,Standard Carbon Fiber variant.,MIL-HDBK-17,True
Carbon Fiber T800,Composite,Carbon Fiber,T800,-,1.76,4030,4030,4030,4030,1.5,-,280,10.0,900,,,150,2000,5000,INR,Aerospace,-,-,Standard Carbon Fiber variant.,MIL-HDBK-17,True
Carbon Fiber T900,Composite,Carbon Fiber,T900,-,1.76,4130,4130,4130,4130,1.5,-,290,10.0,900,,,150,2000,5000,INR,Aerospace,-,-,Standard Carbon Fiber variant.,MIL-HDBK-17,True
Carbon Fiber T1000,Composite,Carbon Fiber,T1000,-,1.76,4230,4230,4230,4230,1.5,-,300,10.0,900,,,150,2000,5000,INR,Aerospace,-,-,Standard Carbon Fiber variant.,MIL-HDBK-17,True
Carbon Fiber T1100,Composite,Carbon Fiber,T1100,-,1.76,4330,4330,4330,4330,1.5,-,310,10.0,900,,,150,2000,5000,INR,Aerospace,-,-,Standard Carbon Fiber variant.,MIL-HDBK-17,True
Carbon Fiber T1200,Composite,Carbon Fiber,T1200,-,1.76,4430,4430,4430,4430,1.5,-,320,10.0,900,,,150,2000,5000,INR,Aerospace,-,-,Standard Carbon Fiber variant.,MIL-HDBK-17,True
Concrete M90 (UHPC),Ceramic,Concrete,M90,-,2.5,9,12,90,110,0.1,-,45,1.8,800,,,400,5,15,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Concrete M100 (UHPC),Ceramic,Concrete,M100,-,2.5,10,15,100,120,0.1,-,50,1.8,800,,,400,5,20,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Aerated Autoclaved Concrete (AAC),Ceramic,Concrete,AAC,-,0.6,2,4,2,4,0.1,-,2,0.15,800,,,400,2,6,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Geopolymer Concrete,Ceramic,Concrete,GPC,-,2.4,5,8,40,60,0.1,-,30,1.2,800,,,600,3,10,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Inconel 600 (Annealed),Metal,Superalloy,Annealed,-,8.47,622,687,294,325,40.0,150 HB,207,14.8,450,1330,1380,800,3000,6000,INR,Aerospace,-,-,Standard Superalloy variant.,MMPDS,True
Inconel 600 (Solution Treated),Metal,Superalloy,Solution Treated,-,8.47,684,756,338,374,36.0,150 HB,207,14.8,450,1330,1380,800,3000,6000,INR,Aerospace,-,-,Standard Superalloy variant.,MMPDS,True
Inconel 600 (Aged),Metal,Superalloy,Aged,-,8.47,808,894,412,455,24.0,150 HB,207,14.8,450,1330,1380,800,3000,6000,INR,Aerospace,-,-,Standard Superalloy variant.,MMPDS,True
Inconel 600 (Cold Worked),Metal,Superalloy,Cold Worked,-,8.47,871,962,441,488,16.0,150 HB,207,14.8,450,1330,1380,800,3000,6000,INR,Aerospace,-,-,Standard Superalloy variant.,MMPDS,True
Inconel 600 (Hot Rolled),Metal,Superalloy,Hot Rolled,-,8.47,653,722,309,341,38.0,150 HB,207,14.8,450,1330,1380,800,3000,6000,INR,Aerospace,-,-,Standard Superalloy variant.,MMPDS,True
Inconel 625 (Annealed),Metal,Superalloy,Annealed,-,8.44,785,868,393,434,30.0,180 HB,207,9.8,450,1330,1380,800,3000,6000,INR,Aerospace,-,-,Standard Superalloy variant.,MMPDS,True
Inconel 625 (Solution Treated),Metal,Superalloy,Solution Treated,-,8.44,864,955,452,499,27.0,180 HB,207,9.8,450,1330,1380,800,3000,6000,INR,Aerospace,-,-,Standard Superalloy variant.,MMPDS,True
